City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Ibanda,TZ,81.86,scattered clouds,-2.7974,32.4746,Lahe Hotel Mwanza
546,Tagusao,PH,80.35,overcast clouds,9.1924,117.8141,Toledo
549,Alugan,PH,78.98,overcast clouds,12.2188,125.4808,JM Lodge
550,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
551,Kijang,KR,77.22,overcast clouds,35.2442,129.2139,Samyang Beach Villa
552,Korla,CN,82.02,clear sky,41.7597,86.1469,Gulisitan Hotel
554,Rupert,US,73.29,clear sky,42.6191,-113.6772,Uptown Motel
555,Tura,IN,75.78,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
557,Pihuamo,MX,73.29,overcast clouds,19.2499,-103.3828,Hotel Primavera
561,Shache,CN,89.31,few clouds,38.4167,77.2406,Delong Hotel
562,Bubaque,GW,81.95,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
563,Svatove,UA,89.94,broken clouds,49.4103,38.1503,Myslyvsʹka Vatra
569,Shahr-E Babak,IR,83.41,overcast clouds,30.1165,55.1186,Duna Ecolodge
571,Fort Frances,CA,73.62,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
572,Gijon,ES,81.25,clear sky,43.5357,-5.6615,Miramar
573,Koungou,YT,78.51,broken clouds,-12.7336,45.2042,Villa Netibor
574,Tezu,IN,78.13,light rain,27.9167,96.1667,Circuit House
575,Malanje,AO,87.44,clear sky,-9.5402,16.341,Malanje Hotel
577,Lollar,DE,83.68,clear sky,50.6465,8.705,Burg Staufenberg
578,Wamba,NG,77.5,light rain,8.9333,8.6,Roma Zee Guest House Annex
580,Muros,ES,84.7,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
582,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
584,Ambilobe,MG,77.32,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
585,Mandalgovi,MN,77.31,overcast clouds,45.7625,106.2708,В.Ганбат
587,Winslow,US,71.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
590,Worgl,AT,70.81,moderate rain,47.4833,12.0667,Wellness Schloss Panorama Royal
592,Los Llanos De Aridane,ES,74.95,clear sky,28.6585,-17.9182,Valle Aridane
594,Brownsville,US,85.91,scattered clouds,25.9018,-97.4975,University Inn & Suites
595,Puerto Escondido,MX,79.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
597,Maba,CN,76.66,overcast clouds,24.6841,113.5984,Huayi Traders Hotel
600,Lapeer,US,74.28,clear sky,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
601,Kieta,PG,79.45,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
603,Roebourne,AU,70.34,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
605,Asau,RO,81.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
606,Meulaboh,ID,78.89,clear sky,4.1363,96.1285,Kost Pria
607,Matara,LK,79.43,few clouds,5.9485,80.5353,Amaloh Boutique Resort
612,La Asuncion,VE,81.57,clear sky,11.0333,-63.8628,Colinas de Matasiete
613,Nakama,JP,80.46,overcast clouds,33.8167,130.7,ホテルベルツー
614,Kavieng,PG,81.84,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
617,Northam,GB,83.12,clear sky,51.0333,-4.2167,Durrant House Hotel
619,Abha,SA,75.45,scattered clouds,18.2164,42.5053,Abha Hotel
622,Sinnamary,GF,83.71,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
623,Khani,GE,81.97,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
625,Jacqueville,CI,84.11,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
626,Sambava,MG,74.52,clear sky,-14.2667,50.1667,Melrose
628,Akniste,LV,80.55,clear sky,56.1615,25.7478,Liepas Guest House & Cafe
629,Balikpapan,ID,78.19,scattered clouds,-1.2675,116.8289,ibis Balikpapan
631,Mazatlan,MX,84.02,broken clouds,23.2167,-106.4167,Hotel Club Playamar
632,Chiredzi,ZW,71.01,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
634,Monrovia,LR,80.37,moderate rain,6.3005,-10.7969,Sunset Inn
635,Kuching,MY,82.62,few clouds,1.55,110.3333,The Ranee Boutique Suites
637,Sassandra,CI,80.24,overcast clouds,4.95,-6.0833,la terrasse
638,Beira,MZ,72.41,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
639,Haftoni,AZ,83.91,scattered clouds,38.7632,48.7622,Lankaran Springs Wellness Resort
641,Pecos,US,77.83,clear sky,31.4229,-103.4932,Knights Inn Pecos
642,Port Keats,AU,72.41,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
643,Swellendam,ZA,71.02,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
648,Likasi,CD,75.65,clear sky,-10.9814,26.7333,TABERNACLE DE LIKASI
