City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Buzmeyin,TM,38.0507,58.2056,101.93,11,0,13.8,clear sky
349,Adelaide,AU,-34.9333,138.6,49.55,88,0,10.36,clear sky
350,Freital,DE,51.0017,13.6488,80.69,57,40,5.99,scattered clouds
351,Kavaratti,IN,10.5669,72.642,82.29,78,100,20.4,overcast clouds
352,Maridi,SS,4.9158,29.4742,78.75,68,68,3.44,light rain
353,Baturaja,ID,-4.1333,104.1667,76.59,82,57,2.8,broken clouds
354,Huarmey,PE,-10.0681,-78.1522,65.64,76,56,6.4,broken clouds
355,De-Kastri,RU,51.4667,140.7833,64.44,66,0,3.06,clear sky
356,Kasongo-Lunda,CD,-6.4667,16.8167,98.4,13,28,3.58,scattered clouds
357,Eureka,US,40.8021,-124.1637,54.19,94,1,1.01,clear sky
358,Buala,SB,-8.145,159.5921,80.4,85,100,9.46,overcast clouds
359,Juneau,US,58.3019,-134.4197,59.22,89,75,12.66,light rain
360,Tuatapere,NZ,-46.1333,167.6833,42.66,95,39,3.87,scattered clouds
361,Puerto Madryn,AR,-42.7692,-65.0385,43.0,59,3,15.35,clear sky
362,Rabo De Peixe,PT,37.8,-25.5833,71.11,73,40,12.66,scattered clouds
363,Fuling,CN,29.7022,107.3919,78.8,88,13,3.22,heavy intensity rain
364,Westport,US,41.1415,-73.3579,78.75,88,90,3.0,overcast clouds
365,Waipawa,NZ,-41.4122,175.5153,48.83,94,89,4.94,overcast clouds
366,Moose Factory,CA,51.2585,-80.6094,49.57,65,74,8.03,broken clouds
367,Severo-Yeniseyskiy,RU,60.3725,93.0408,56.82,80,100,4.32,light rain
368,Nyurba,RU,63.2842,118.3319,70.47,65,100,6.51,overcast clouds
369,Imbituba,BR,-28.24,-48.6703,62.49,40,1,9.55,clear sky
370,Tigre,AR,-34.426,-58.5796,48.22,73,75,21.85,broken clouds
371,Haines Junction,CA,60.7522,-137.5108,53.49,52,6,1.03,clear sky
372,Makokou,GA,0.5738,12.8642,88.7,43,71,3.53,broken clouds
373,Port Hedland,AU,-20.3167,118.5667,62.65,63,8,1.14,clear sky
374,Isangel,VU,-19.55,169.2667,75.54,86,74,3.0,broken clouds
